ISO,Country,Units,Scale,Country/Series-specific Notes,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Estimates Start After
FRA,France,U.S. dollars,Billions,,"1,377.67","1,500.35","1,844.08","2,118.67","2,198.16","2,320.66","2,660.91","2,929.98","2,697.96","2,647.35","2,864.65","2,685.37","2,811.92","2,856.70","2,439.44","2,472.28","2,594.24","2,791.16","2,717.20","2,598.91","2,938.27",2020
GAB,Gabon,U.S. dollars,Billions,,5.023,5.332,6.51,7.767,9.468,10.164,12.457,15.57,12.188,14.384,18.207,17.181,17.596,18.209,14.385,14.02,14.924,16.875,16.875,15.642,18.362,2019
GMB,The Gambia,U.S. dollars,Billions,,1.002,0.887,0.843,0.962,1.028,1.054,1.28,1.562,1.45,1.543,1.41,1.415,1.376,1.229,1.355,1.47,1.498,1.662,1.818,1.913,2.078,2018
GEO,Georgia,U.S. dollars,Billions,,3.309,3.491,4.103,5.27,6.591,7.963,10.459,13.154,11.069,12.243,15.107,16.489,17.19,17.627,14.953,15.141,16.242,17.599,17.477,15.733,16.163,2019
DEU,Germany,U.S. dollars,Billions,,"1,945.80","2,077.02","2,501.01","2,813.08","2,848.44","2,994.86","3,425.98","3,744.85","3,407.56","3,402.44","3,748.66","3,529.38","3,733.86","3,890.10","3,357.93","3,468.90","3,681.30","3,965.57","3,861.55","3,803.01","4,319.29",2020
GHA,Ghana,U.S. dollars,Billions,,12.227,14.2,17.494,20.244,24.521,28.785,33.942,38.414,34.254,43.043,53.645,56.505,63.279,53.173,48.595,54.989,58.978,65.518,66.998,68.418,74.26,2019
GRC,Greece,U.S. dollars,Billions,,135.16,153.152,200.613,238.823,245.92,271.254,316.25,352.866,328.156,297.368,282.946,242.193,238.555,235.669,195.416,192.81,200.055,212.346,205.349,189.259,209.857,2020
GRD,Grenada,U.S. dollars,Billions,,0.52,0.54,0.591,0.599,0.695,0.699,0.759,0.826,0.771,0.771,0.779,0.8,0.843,0.911,0.997,1.062,1.126,1.169,1.205,1.037,1.041,2019
GTM,Guatemala,U.S. dollars,Billions,,19.736,21.924,23.092,24.977,28.179,31.308,35.028,40.242,37.996,41.492,47.419,49.902,52.989,57.835,62.18,66.034,71.583,73.121,76.694,77.073,81.402,2019
GIN,Guinea,U.S. dollars,Billions,,3.806,4.022,4.759,5.054,4.506,4.178,6.317,6.966,6.753,6.858,6.034,7.304,8.374,8.79,8.79,8.604,10.337,12.181,13.797,15.455,16.339,2018
GNB,Guinea-Bissau,U.S. dollars,Billions,,0.413,0.466,0.553,0.582,0.64,0.635,0.753,0.953,0.889,0.941,1.157,1.05,1.11,1.136,1.153,1.245,1.469,1.506,1.44,1.434,1.647,2018
GUY,Guyana,U.S. dollars,Billions,,1.504,1.555,1.592,1.657,1.712,1.899,2.225,2.491,2.596,2.889,3.328,4.063,4.168,4.128,4.28,4.483,4.748,4.788,5.174,5.766,7.255,2019
HTI,Haiti,U.S. dollars,Billions,,6.318,6.112,5.041,6.006,7.052,7.398,9.316,10.389,11.271,11.655,13.009,13.709,14.5,14.789,14.856,13.732,14.214,15.965,14.334,14.286,22.431,2019
HND,Honduras,U.S. dollars,Billions,,7.566,7.775,8.14,8.772,9.672,10.842,12.275,13.79,14.486,15.73,17.65,18.527,18.497,19.755,20.978,21.714,23.137,23.857,24.921,23.691,26.161,2019
HKG,Hong Kong SAR,U.S. dollars,Billions,,169.381,166.336,161.37,169.085,181.556,193.515,211.583,219.279,214.048,228.639,248.514,262.629,275.697,291.46,309.386,320.84,341.242,361.692,365.708,349.445,368.633,2020
HUN,Hungary,U.S. dollars,Billions,,53.75,67.609,85.302,103.96,112.981,115.577,139.966,158.136,130.76,131.917,141.76,128.475,135.412,140.765,125.074,128.471,142.962,160.419,163.459,154.562,176.543,2020
ISL,Iceland,U.S. dollars,Billions,,8.235,9.318,11.429,13.825,16.853,17.465,21.653,18.075,13.154,13.751,15.222,14.752,16.125,17.868,17.517,20.793,24.728,26.224,24.837,21.715,24.155,2018
IND,India,U.S. dollars,Billions,,493.934,523.768,618.369,721.589,834.218,949.118,"1,238.70","1,224.10","1,365.37","1,708.46","1,823.05","1,827.64","1,856.72","2,039.13","2,103.59","2,294.12","2,651.47","2,701.11","2,870.50","2,708.77","3,049.70",2021
IDN,Indonesia,U.S. dollars,Billions,,174.507,212.807,255.428,279.556,310.815,396.293,470.144,558.582,577.539,755.256,892.59,919.002,916.646,891.051,860.741,932.066,"1,015.49","1,042.71","1,120.04","1,059.64","1,158.78",2020
IRN,Islamic Republic of Iran,U.S. dollars,Billions,,316.205,129.15,151.897,187.546,224.764,265.479,350.068,405.568,414.013,486.774,580.113,392.295,400.087,433.088,385.023,418.064,445.528,456.59,581.252,635.724,682.859,2020
IRQ,Iraq,U.S. dollars,Billions,,18.936,18.97,15.8,36.642,50.065,65.144,88.833,131.614,111.66,138.517,185.75,218.032,234.638,234.651,177.634,167.716,192.343,216.946,222.434,172.119,190.733,2020
IRL,Ireland,U.S. dollars,Billions,,109.319,128.535,164.488,194.556,211.941,232.257,270.296,275.894,236.871,222.723,237.905,225.185,238.264,258.889,292.037,299.145,337.545,386.689,398.379,418.716,476.663,2019
